day,date,book_start,start_chapter,book_end,end_chapter,emoji
1,2020-08-03,Kejadian,1,,2,💥
2,2020-08-04,Kejadian,3,,4,🐑
3,2020-08-05,Kejadian,5,,6,⚡
4,2020-08-06,Kejadian,7,,8,🌊
5,2020-08-07,Kejadian,9,,10,🌈
6,2020-08-08,Kejadian,11,,12,🏯
7,2020-08-10,Kejadian,13,,14,🛡️
8,2020-08-11,Kejadian,15,,16,🔍
9,2020-08-12,Kejadian,17,,18,🔥
10,2020-08-13,Kejadian,19,,20,⚡
11,2020-08-14,Kejadian,21,,22,🌳
12,2020-08-15,Kejadian,23,,24,🐪
13,2020-08-17,Kejadian,25,,26,🍵
14,2020-08-18,Kejadian,27,,28,⛺
15,2020-08-19,Kejadian,29,,30,🐄
16,2020-08-20,Kejadian,31,,32,🍄
17,2020-08-21,Kejadian,33,,34,❄️
18,2020-08-22,Kejadian,35,,36,🏮
19,2020-08-24,Kejadian,37,,38,🌾
20,2020-08-25,Kejadian,39,,40,🍞
21,2020-08-26,Kejadian,41,,42,👑
22,2020-08-27,Kejadian,43,,44,🍹
23,2020-08-28,Kejadian,45,,46,🧆
24,2020-08-29,Kejadian,47,,48,🥗
